Category,Case Number,Crime Date and Time,Report Date,Incident Description,Residential Occurance,Disposition,Location,Lat,Lon
Assault,CSA20150585,06/19/2015 - 12:02pm,6/19/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150586,06/19/2015 - 4:00pm,6/19/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150587,06/19/2015 - 3:25pm,6/19/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Terroristic Threatening,CSA20150575,06/18/2015 - 3:51am,6/18/15,TERRORISTIC THREATENING,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150576,06/18/2015 - 6:37am,6/18/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150577,06/18/2015 - 9:08am,6/18/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Terroristic Threatening,CSA20150578,06/18/2015 - 11:48am,6/18/15,TERRORISTIC THREATENING,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150579,06/18/2015 - 4:13pm,6/18/15,"ASSAULT, TERRORISTIC THREATENING",No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150580,06/18/2015 - 12:28pm,6/18/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150581,06/18/2015 - 4:31pm,6/18/15,"ASSAULT, TERRORISTIC THREATENING",No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150582,06/18/2015 - 12:10pm,6/18/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Terroristic Threatening,CSA20150583,06/18/2015 - 8:05pm,6/18/15,TERRORISTIC THREATENING,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Terroristic Threatening,CSA20150570,06/17/2015 - 12:15pm,6/17/15,TERRORISTIC THREATENING,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Terroristic Threatening,CSA20150571,06/17/2015 - 4:27pm,6/17/15,TERRORISTIC THREATENING,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150572,06/17/2015 - 1:36pm,6/17/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150573,06/17/2015 - 2:30pm,6/17/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150574,06/17/2015 - 6:25pm,6/17/15,"ASSAULT, TERRORISTIC THREATENING",No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150567,06/16/2015 - 9:45am,6/16/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150568,06/16/2015 - 12:25pm,6/16/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150569,06/16/2015 - 6:04pm,6/16/15,ASSAULT X2,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150563,06/15/2015 - 12:34pm,6/15/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150564,06/15/2015 - 12:54pm,6/15/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150565,06/15/2015 - 1:14pm,6/15/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150566,06/15/2015 - 6:59pm,6/15/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150561,06/14/2015 - 6:55am,6/14/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150562,06/14/2015 - 9:37am,6/14/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150560,06/13/2015 - 8:38am,6/13/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Criminal Mischief,CSA20150558,06/12/2015 - 4:27pm,6/12/15,CRIMINAL MISCHIEF,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150559,06/12/2015 - 6:48pm,6/12/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150556,06/11/2015 - 11:50am,6/11/15,"ASSAULT, TERRORISTIC THREATENING",No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150557,06/11/2015 - 5:48pm,6/11/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150524,06/01/2015 - 12:51pm,6/2/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Terroristic Threatening,CSA20150519,06/01/2015 - 12:28am,6/1/15,TERRORISTIC THREATENING,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150520,06/01/2015 - 10:29am,6/1/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20105522,06/01/2015 - 10:29am,6/1/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Harassment,CSA20150523,06/01/2015 - 3:30am,6/1/15,HARASSMENT WITH PHYSICAL CONTACT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,20151217,05/31/2015 - 10:08am,5/31/15,ASSAULT 4TH (NO VISIBLE INJURY)/M,No,Closed,1350 BULL LEA RD,38.084885,-84.497802
Terroristic Threatening,CSA20150514,05/30/2015 - 11:43pm,5/31/15,TERRORISTIC THREATENING,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150515,05/31/2015 - 1:19pm,5/31/15,ASSAULT X2,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150516,05/31/2015 - 4:30pm,5/31/15,"ASSAULT, TERRORISTIC THREATENING",No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150517,05/31/2015 - 4:20pm,5/31/15,ASSAULT X2,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150518,05/31/2015 - 7:30pm,5/31/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Terroristic Threatening,CSA20150511,05/29/2015 - 11:23pm,5/30/15,TERRORISTIC THREATENING,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150512,05/30/2015 - 9:45am,5/30/15,"ASSAULT, TERRORISTIC THREATENING",No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150513,05/30/2015 - 9:17pm,5/30/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Sex Offenses,CSA20150506,05/28/2015 - 4:40am,5/28/15,SEXUAL ABUSE,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150508,05/28/2015 - 2:24pm,5/28/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150509,05/28/2015 - 8:47pm,5/28/15,"ASSAULT, TERRORISTIC THREATENING",No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Terroristic Threatening,CSA20150501,05/26/2015 - 9:39pm,5/27/15,"MENACING, TERRORISTIC THREATENING",No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150500,05/26/2015 - 11:55pm,5/27/15,ASSAULT X2,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150502,05/27/2015 - 7:46am,5/27/15,ASSAULT X2,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150503,05/27/2015 - 9:00am,5/27/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150504,05/27/2015 - 9:54pm,5/27/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Terroristic Threatening,CSA20150505,05/27/2015 - 10:49pm,5/27/15,TERRORISTIC THREATENING,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150497,05/26/2015 - 12:51am,5/26/15,"ASSAULT, TERRORISTIC THREATENING",No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150499,05/26/2015 - 1:15pm,5/26/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150494,05/25/2015 - 12:00pm,5/25/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Terroristic Threatening,CSA20150495,05/25/2015 - 3:21pm,5/25/15,"TERRORISTIC THREATENING, MENACING",No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150496,05/25/2015 - 6:02pm,5/25/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150492,05/23/2015 - 7:29am,5/23/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150493,05/23/2015 - 11:14am,5/23/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150490,05/22/2015 - 1:43pm,5/22/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150491,05/22/2015 - 6:45pm,5/22/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
All Other Offenses,CSA20150485,05/21/2015 - 1:07am,5/21/15,MENACING,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150486,05/21/2015 - 10:05am,5/21/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150482,05/20/2015 - 12:00pm,5/20/15,ASSAULT X2,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Terroristic Threatening,CSA20150483,05/20/2015 - 4:25pm,5/20/15,TERRORISTIC THREATENING,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Terroristic Threatening,CSA20150484,05/20/2015 - 8:55pm,5/20/15,TERRORISTIC THREATENING,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150480,05/19/2015 - 12:05pm,5/19/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150481,05/19/2015 - 2:38pm,5/19/15,"ASSAULT, TERRORISTIC THREATENING",No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150474,05/18/2015 - 12:53pm,5/18/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150475,05/18/2015 - 2:36pm,5/18/15,ASSAULT X2,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150476,05/18/2015 - 4:18pm,5/18/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150477,05/18/2015 - 4:44pm,5/18/15,"ASSAULT, TERRORISTIC THREATENING",No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150478,05/18/2015 - 5:09pm,5/18/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150479,05/18/2015 - 11:51pm,5/18/15,ASSAULT X2,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150473,05/17/2015 - 8:29pm,5/17/15,ASSAULT X2,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Terroristic Threatening,CSA20150471,05/16/2015 - 1:05am,5/16/15,TERRORISTIC THREATENING,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Criminal Mischief,CSA20150472,05/16/2015 - 5:30pm,5/16/15,"TERRORISTIC THREATENING, CRIMINAL MISCHIEF",No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150468,05/15/2015 - 11:32am,5/15/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150469,05/15/2015 - 1:18pm,5/15/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150470,05/15/2015 - 3:05pm,5/15/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150463,05/13/2015 - 11:56pm,5/14/15,"ASSAULT, TERRORISTIC THREATENING",No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150464,05/14/2015 - 8:31am,5/14/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150465,05/14/2015 - 11:07am,5/14/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150466,05/14/2015 - 1:43pm,5/14/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Criminal Mischief,CSA20150467,05/14/2015 - 6:21pm,5/14/15,CRIMINAL MISCHIEF,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150460,05/13/2015 - 11:28am,5/13/15,ASSAULT X2,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150461,05/13/2015 - 6:38pm,5/13/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150462,05/13/2015 - 10:12pm,5/13/15,ASSAULT X2,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Criminal Mischief,CSA20150459,05/12/2015 - 12:40am,5/12/15,CRIMINAL MISCHIEF,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
All Other Offenses,CSA20150454,05/10/2015 - 8:33pm,5/11/15,MENACING,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Terroristic Threatening,CSA20150455,05/11/2015 - 9:20am,5/11/15,TERRORISTIC THREATENING,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150456,05/11/2015 - 8:44am,5/11/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150457,05/11/2015 - 10:26am,5/11/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Criminal Mischief,CSA20150458,05/11/2015 - 3:34pm,5/11/15,CRIMINAL MISCHIEF,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150450,05/10/2015 - 8:04am,5/10/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150451,05/10/2015 - 11:30am,5/10/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150452,05/10/2015 - 2:09pm,5/10/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150453,05/10/2015 - 3:38pm,5/10/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Criminal Mischief,CSA20150447,05/09/2015 - 12:51am,5/9/15,CRIMINAL MISCHIEF,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150448,05/09/2015 - 11:11am,5/9/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150449,05/09/2015 - 3:02pm,5/9/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150441,05/08/2015 - 11:10pm,5/8/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Terroristic Threatening,CSA20150442,05/08/2015 - 12:22am,5/8/15,TERRORISTIC THREATENING,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150443,05/08/2015 - 9:26am,5/8/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150444,05/08/2015 - 12:30pm,5/8/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150445,05/08/2015 - 2:45pm,5/8/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150446,05/08/2015 - 3:35pm,5/8/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Terroristic Threatening,CSA20150436,05/07/2015 - 3:25am,5/7/15,TERRORISTIC THREATENING,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150437,05/07/2015 - 8:30am,5/7/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Criminal Mischief,CSA20150438,05/07/2015 - 4:42pm,5/7/15,"TERRORISTIC THREATENING, CRIMINAL MISCHIEF",No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150439,05/07/2015 - 6:04pm,5/7/15,"INDECENT EXPOSURE, ASSAULT",No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150440,05/07/2015 - 6:25pm,5/7/15,ASSAULT X2,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150435,05/06/2015 - 3:55pm,5/6/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA2015430,05/04/2015 - 7:14pm,5/5/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150431,05/05/2015 - 8:19am,5/5/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150433,05/05/2015 - 4:04pm,5/5/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150424,05/03/2015 - 7:50pm,5/4/15,"ASSAULT, TERRORISTIC THREATENING",No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Terroristic Threatening,CSA20150426,05/03/2015 - 11:15pm,5/4/15,TERRORISTIC THREATENING,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150420,05/03/2015 - 7:30am,5/3/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150421,05/03/2015 - 8:20am,5/3/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150422,05/03/2015 - 1:35pm,5/3/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Terroristic Threatening,CSA20150423,05/03/2015 - 1:38pm,5/3/15,TERRORISTIC THREATENING,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150419,04/30/2015 - 8:18pm,5/1/15,"ASSAULT, TERRORISTIC THREATENING",No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150418,04/30/2015 - 2:30pm,4/30/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150425,04/30/2015 - 8:30am,4/30/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,20151019,04/29/2015 - 2:10am,4/29/15,ASSAULT 4TH DEGREE (NO VISIBLE INJURY)/M,No,Open,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150414,04/29/2015 - 12:09pm,4/29/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150415,04/29/2015 - 9:07am,4/29/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Terroristic Threatening,CSA20150406,04/27/2015 - 7:29pm,4/28/15,"TERRORISTIC THREATENING X3, CRIMINAL MISCHIEF",No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Terroristic Threatening,CSA20150407,04/27/2015 - 8:00pm,4/28/15,TERRORISTIC THREATENING,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150412,04/28/2015 - 7:42pm,4/28/15,ASSAULT X2,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150413,04/28/2015 - 11:27pm,4/28/15,ASSAULT X2,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150403,04/27/2015 - 8:21am,4/27/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150404,04/27/2015 - 8:01am,4/27/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150405,04/27/2015 - 12:45pm,4/27/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150400,04/25/2015 - 8:38pm,4/26/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Terroristic Threatening,CSA20150401,04/26/2015 - 1:30pm,4/26/15,TERRORISTIC THREATENING,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150402,04/26/2015 - 9:45am,4/26/15,ASSAULT X4,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Terroristic Threatening,CSA20150398,04/25/2015 - 3:03am,4/25/15,TERRORISTIC THREATENING,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150397,04/24/2015 - 5:50pm,4/24/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150399,04/25/2015 - 8:59am,4/24/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Terroristic Threatening,CSA20150395,04/23/2015 - 11:07am,4/23/15,TERRORISTIC THREATENING,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150396,04/23/2015 - 3:50pm,4/23/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150393,04/22/2015 - 2:51pm,4/22/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150394,04/22/2015 - 12:25pm,4/22/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150384,04/21/2015 - 9:05am,4/21/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150382,04/20/2015 - 3:20pm,4/20/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150383,04/20/2015 - 4:35pm,4/20/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150379,04/19/2015 - 1:47am,4/19/15,ASSAULT X2,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150380,04/19/2015 - 1:53pm,4/19/15,"ASSAULT, TERRORISTIC THREATENING",No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150381,04/19/2015 - 3:55pm,4/19/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150375,04/18/2015 - 3:00pm,4/18/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150376,04/18/2015 - 3:35pm,4/18/15,ASSAULT X2,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150377,04/18/2015 - 9:25pm,4/18/15,"ASSAULT, TERRORISTIC THREATENING",No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150378,04/18/2015 - 10:50pm,4/18/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150372,04/16/2015 - 9:45pm,4/17/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Criminal Mischief,CSA20150373,04/17/2015 - 1:55pm,4/17/15,CRIMINAL MISCHIEF,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150374,04/17/2015 - 12:37pm,4/17/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150367,04/16/2015 - 1:54am,4/16/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Terroristic Threatening,CSA20150370,04/16/2015 - 4:33pm,4/16/15,TERRORISTIC THREATENING,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150371,04/16/2015 - 5:50pm,4/16/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Terroristic Threatening,CSA20150362,04/14/2015 - 8:30pm,4/15/15,TERRORISTIC THREATENING,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150363,04/15/2015 - 9:08am,4/15/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150364,04/15/2015 - 6:54pm,4/15/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Terroristic Threatening,CSA20150365,04/15/2015 - 7:27pm,4/15/15,TERRORISTIC THREATENING,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150366,04/15/2015 - 11:12am,4/15/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150351,04/14/2015 - 12:12am,4/14/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Terroristic Threatening,CSA20150352,04/14/2015 - 4:15am,4/14/15,TERRORISTIC THREATENING,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150357,04/14/2015 - 8:18am,4/14/15,ASSAULT X2,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150358,04/14/2015 - 8:41am,4/14/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150359,04/14/2015 - 12:52pm,4/14/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150360,04/14/2015 - 1:03pm,4/14/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150361,04/14/2015 - 3:12pm,4/14/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150344,04/12/2015 - 5:50pm,4/13/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150345,04/13/2015 - 12:38pm,4/13/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150346,04/13/2015 - 10:50am,4/13/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Terroristic Threatening,CSA20150347,04/13/2015 - 3:00pm,4/13/15,TERRORISTIC THREATENING,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150348,04/13/2015 - 1:40pm,4/13/15,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Assault,CSA20150349,04/13/2015 - 11:35am,4/13/15,ASSAULT X2,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
Criminal Mischief,CSA2015350,04/13/2015 - 1:21pm,4/13/15,CRIMINAL MISCHIEF,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802
